#Dat-format-version: 1
#Plate-boundaries: 321,267,4894,3170
#Grid-boundaries: 496,326,4718,3119
#Window: 90
row	col	size	circularity
1	1	3861.0	0.861296037458488
1	2	3060.0	0.889452054108164
1	3	2962.0	0.9150902092415646
1	4	2721.0	0.9170527236301939
1	5	2557.0	0.9042183889686626
1	6	3119.0	0.9169053425818157
1	7	2423.0	0.9214308266045206
1	8	2742.0	0.8916520283842022
1	9	2338.0	0.924511517482669
1	10	2443.0	0.906530819193868
1	11	2290.0	0.8718166752763864
1	12	2419.0	0.9115821159410509
1	13	2550.0	0.8952128961814468
1	14	2544.0	0.9321031089149262
1	15	2507.0	0.9127631912182358
1	16	2687.0	0.8947039222803352
1	17	2306.0	0.9229146452513476
1	18	2630.0	0.9040827692031008
1	19	2229.0	0.912581710658653
1	20	2636.0	0.9150149801026123
1	21	2310.0	0.9194723775885106
1	22	2489.0	0.911951508682882
1	23	2447.0	0.9221337071962594
1	24	2711.0	0.9272143775845447
1	25	2287.0	0.9043446708652112
1	26	2462.0	0.9194253152611866
1	27	2382.0	0.8815691053937189
1	28	2525.0	0.9031360581194613
1	29	2191.0	0.9116831525434739
1	30	2942.0	0.908911342197395
1	31	2391.0	0.9186263532670079
1	32	2689.0	0.8985413661886082
1	33	2188.0	0.9104348415176274
1	34	2922.0	0.9231486545503504
1	35	2413.0	0.912748157546142
1	36	3223.0	0.8815997049163221
1	37	2544.0	0.9132727479797098
1	38	3223.0	0.8997388104024583
1	39	2827.0	0.896216598543225
1	40	3123.0	0.9056493398664625
1	41	2486.0	0.9084702456059274
1	42	3378.0	0.8831601616144233
1	43	2503.0	0.9065645790806728
1	44	3197.0	0.881530155342352
1	45	2748.0	0.8876611598476749
1	46	3623.0	0.8927716787535206
1	47	3565.0	0.8720693832264023
1	48	4846.0	0.8181081235799679
2	1	4832.0	0.85152082836308
2	2	3386.0	0.8766650407906716
2	3	2848.0	0.9044321650901304
2	4	2733.0	0.902308802433763
2	5	2556.0	0.9233535335558054
2	6	2623.0	0.9161348211926428
2	7	2531.0	0.881744692232583
2	8	2672.0	0.9161936930112324
2	9	2679.0	0.8929638420182338
2	10	2732.0	0.9051599497383518
2	11	3168.0	0.8892887344641507
2	12	3726.0	0.8982721862394355
2	13	2342.0	0.8858914981239387
2	14	2498.0	0.8934787616564017
2	15	3641.0	0.9085511269412992
2	16	3788.0	0.8947591007714213
2	17	3644.0	0.8913943429108023
2	18	3840.0	0.8967972090730484
2	19	3658.0	0.8994623706233614
2	20	3715.0	0.8910420070744697
2	21	3564.0	0.9150181766065706
2	22	3767.0	0.9147831659629269
2	23	2848.0	0.8807482658553815
2	24	2912.0	0.9048919545071734
2	25	3959.0	0.8953481080802778
2	26	4043.0	0.8964349755642397
2	27	3589.0	0.9030360751423703
2	28	3780.0	0.9085574647779361
2	29	3097.0	0.9156189646270022
2	30	3585.0	0.9115621216801623
2	31	3068.0	0.8947281991268219
2	32	3551.0	0.9057107738870483
2	33	3883.0	0.880722618312478
2	34	3165.0	0.8864123646604689
2	35	3047.0	0.8987199306567536
2	36	2660.0	0.9097713922445179
2	37	2919.0	0.8901711069795246
2	38	3017.0	0.9191465627580625
2	39	2358.0	0.8862380035697682
2	40	2353.0	0.9064573477051985
2	41	2905.0	0.9133277444555774
2	42	2662.0	0.8736138846391869
2	43	2702.0	0.8996985478233963
2	44	2697.0	0.8973769859685361
2	45	2788.0	0.8860110785865651
2	46	2724.0	0.8799086606350314
2	47	3448.0	0.889942930971832
2	48	5050.0	0.897798515509216
3	1	4125.0	0.8726523140063855
3	2	3404.0	0.8987174993041246
3	3	3291.0	0.9115891250952755
3	4	3015.0	0.8934777642242695
3	5	2573.0	0.9042478230099849
3	6	2649.0	0.9083072952046237
3	7	2270.0	0.9206404276646171
3	8	2413.0	0.9270787914819275
3	9	2189.0	0.9170227571333058
3	10	2351.0	0.9321879763728482
3	11	2107.0	0.9211590559517239
3	12	2497.0	0.9265687497040885
3	13	2105.0	0.9176561375155162
3	14	2527.0	0.9234530614023242
3	15	2085.0	0.908937314356224
3	16	2361.0	0.9361530464552508
3	17	2047.0	0.9148686554203217
3	18	2447.0	0.9090077497973265
3	19	2082.0	0.9102293092033645
3	20	2452.0	0.9156908501301502
3	21	2051.0	0.9284798721772181
3	22	2427.0	0.9180438368688297
3	23	2121.0	0.9006799532337936
3	24	2449.0	0.9169947886974817
3	25	2342.0	0.9175455392522998
3	26	2641.0	0.9088193222427889
3	27	2218.0	0.9177850095290135
3	28	2595.0	0.9040408835810164
3	29	2248.0	0.9301986931565478
3	30	2625.0	0.9088770379017055
3	31	2181.0	0.9351440368027563
3	32	2626.0	0.914840601265414
3	33	2347.0	0.9075913738631753
3	34	2586.0	0.9032118366771537
3	35	2274.0	0.8875004443221552
3	36	2571.0	0.9115141401537749
3	37	2568.0	0.9242843491402224
3	38	2846.0	0.9022399856575939
3	39	0.0	0.0
3	40	2462.0	0.9070941055187518
3	41	2121.0	0.8920673114533061
3	42	2198.0	0.9084610443728058
3	43	2376.0	0.91880575385552
3	44	2623.0	0.9026251731324634
3	45	2463.0	0.9115468961312887
3	46	2702.0	0.9161996439800388
3	47	2899.0	0.8861892208552056
3	48	3860.0	0.8942911059723877
4	1	4746.0	0.8857864795056314
4	2	3665.0	0.9039256503736661
4	3	3279.0	0.906199356527029
4	4	3012.0	0.9058663180972464
4	5	3001.0	0.9068588202222845
4	6	2903.0	0.9020952417356886
4	7	2852.0	0.9280930947141964
4	8	2796.0	0.9286769063772546
4	9	2924.0	0.9011806545710833
4	10	2852.0	0.9104077277940151
4	11	2841.0	0.922234625043984
4	12	2830.0	0.9399698301314845
4	13	2742.0	0.9321111246504041
4	14	2966.0	0.9097470857189901
4	15	2841.0	0.8962803165913085
4	16	2975.0	0.907248730135007
4	17	2899.0	0.9092330047788622
4	18	3093.0	0.9324396266786461
4	19	3004.0	0.9182864503101199
4	20	3055.0	0.911396309657514
4	21	2946.0	0.9185895693772254
4	22	2987.0	0.9078363857911002
4	23	2978.0	0.91873787851201
4	24	2896.0	0.9400885160603233
4	25	2936.0	0.9285072681489246
4	26	2970.0	0.9229152145900773
4	27	3046.0	0.9257682059322703
4	28	3037.0	0.9283741509959504
4	29	2984.0	0.9099933481421381
4	30	2978.0	0.91873787851201
4	31	2818.0	0.9093456411961528
4	32	3004.0	0.9204882922431794
4	33	3077.0	0.9118511046494449
4	34	3100.0	0.9122064899205521
4	35	2787.0	0.917852586663603
4	36	2982.0	0.9375364316580144
4	37	2948.0	0.9300367382299114
4	38	3132.0	0.895184309296952
4	39	2908.0	0.9142709400608673
4	40	3089.0	0.9102213025263657
4	41	2475.0	0.919409146198767
4	42	2617.0	0.9254358716976886
4	43	2806.0	0.9131238512510642
4	44	3023.0	0.911336886986598
4	45	2882.0	0.9092150202098387
4	46	3212.0	0.9096096031683797
4	47	3307.0	0.9210804490634118
4	48	3795.0	0.8855203513080725
5	1	2694.0	0.9102391190632099
5	2	3192.0	0.9132086682141889
5	3	3243.0	0.9154037631869221
5	4	3018.0	0.9150729973328224
5	5	2374.0	0.9290394430923992
5	6	2306.0	0.9290471059591743
5	7	2638.0	0.9328619906528478
5	8	2690.0	0.8957028473889472
5	9	2508.0	0.916509805301555
5	10	2551.0	0.9215472864244365
5	11	2597.0	0.9207320972303983
5	12	2521.0	0.9154675342832866
5	13	2050.0	0.9242162745502263
5	14	2221.0	0.9304282976670044
5	15	2302.0	0.9299892023548683
5	16	2569.0	0.9164995076500579
5	17	2285.0	0.9355088420166093
5	18	2603.0	0.9171431199234852
5	19	2233.0	0.9178111645802627
5	20	2585.0	0.9141198809088747
5	21	2171.0	0.9219123896608046
5	22	2530.0	0.9245493649971827
5	23	2325.0	0.9074048078491692
5	24	2656.0	0.9084033149629472
5	25	2377.0	0.9276994530139678
5	26	2681.0	0.9249314434664314
5	27	2359.0	0.9039048277154347
5	28	2617.0	0.9220758912177334
5	29	2185.0	0.9005798379122691
5	30	2549.0	0.9070176769023884
5	31	2420.0	0.9297682036412207
5	32	2689.0	0.8909132887432021
5	33	2384.0	0.9218993759223736
5	34	2610.0	0.9311263974179251
5	35	2279.0	0.915651563834817
5	36	2291.0	0.9144053279823847
5	37	2330.0	0.9093562160380922
5	38	2497.0	0.8908132622040458
5	39	2940.0	0.9039381461286955
5	40	3104.0	0.9251081754021451
5	41	2181.0	0.9261588769462065
5	42	2494.0	0.9254555313424098
5	43	2506.0	0.899631095297623
5	44	2806.0	0.9264099888873539
5	45	2494.0	0.9195917244816469
5	46	2985.0	0.9177739340796447
5	47	3042.0	0.9075180274887582
5	48	4430.0	0.8993608890548622
6	1	4368.0	0.8909645175426325
6	2	3171.0	0.9072007164496219
6	3	3406.0	0.9188773412727858
6	4	3179.0	0.9115990333974315
6	5	2659.0	0.9094293729241252
6	6	2582.0	0.9269144006617966
6	7	2955.0	0.9033077432311598
6	8	2968.0	0.9254493692843199
6	9	2958.0	0.9169721020828078
6	10	3039.0	0.9289855267950914
6	11	3031.0	0.9181079248912114
6	12	3163.0	0.927661554178857
6	13	2723.0	0.9313186094292564
6	14	2933.0	0.9145360512503062
6	15	3039.0	0.9183418709281983
6	16	3274.0	0.9220322907782108
6	17	3037.0	0.9177374998384131
6	18	3245.0	0.9189549073105205
