"row"	"col"	"size"	"circularity"	"colonysize"	"ncolonysize"	"kvp"
1	1	3861	0.861296037458488	3861	1.00468228699404	""
1	2	3060	0.889452054108164	3060	0.925128719373422	""
1	3	2962	0.915090209241565	2962	1.05171160006855	""
1	4	2721	0.917052723630194	2721	1.01968165737183	""
1	5	2557	0.904218388968663	2557	0.988367612688033	""
1	6	3119	0.916905342581816	3119	1.23512159099461	""
1	7	2423	0.921430826604521	2423	0.963649281308083	""
1	8	2742	0.891652028384202	2742	1.10149589534275	""
1	9	2338	0.924511517482669	2338	0.949752180864998	""
1	10	2443	0.906530819193868	2443	1.00541157558542	""
1	11	2290	0.871816675276386	2290	0.954293091717692	""
1	12	2419	0.911582115941051	2419	1.01647802501556	""
1	13	2550	0.895212896181447	2550	1.06450702738597	""
1	14	2544	0.932103108914926	2544	1.04723759214078	""
1	15	2507	0.912763191218236	2507	1.01822199935424	""
1	16	2687	0.894703922280335	2687	1.09037408222914	""
1	17	2306	0.922914645251348	2306	0.93169165904525	""
1	18	2630	0.904082769203101	2630	1.06039768790167	""
1	19	2229	0.912581710658653	2229	0.890529753921724	""
1	20	2636	0.915014980102612	2636	1.0551714470282	""
1	21	2310	0.919472377588511	2310	0.927759908573413	""
1	22	2489	0.911951508682882	2489	1.00757562435944	""
1	23	2447	0.922133707196259	2447	0.982639558543526	""
1	24	2711	0.927214377584545	2711	1.08618672447322	""
1	25	2287	0.904344670865211	2287	0.902378545760088	""
1	26	2462	0.919425315261187	2462	0.976254718341124	""
1	27	2382	0.881569105393719	2382	0.942893383913907	""
1	28	2525	0.903136058119461	2525	1.00016657746157	""
1	29	2191	0.911683152543474	2191	0.853549518257141	""
1	30	2942	0.908911342197395	2942	1.14416353026965	""
1	31	2391	0.918626353267008	2391	0.92220677845717	""
1	32	2689	0.898541366188608	2689	1.03717231727438	""
1	33	2188	0.910434841517627	2188	0.831161417338509	""
1	34	2922	0.92314865455035	2922	1.10597869021851	""
1	35	2413	0.912748157546142	2413	0.904730311742029	""
1	36	3223	0.881599704916322	3223	1.21248739746561	""
1	37	2544	0.91327274797971	2544	0.947848679869477	""
1	38	3223	0.899738810402458	3223	1.20826418450616	""
1	39	2827	0.896216598543225	2827	1.0627747064205	""
1	40	3123	0.905649339866462	3123	1.20006468088125	""
1	41	2486	0.908470245605927	2486	0.952177237059843	""
1	42	3378	0.883160161614423	3378	1.29462489842144	""
1	43	2503	0.906564579080673	2503	0.931602099684186	""
1	44	3197	0.881530155342352	3197	1.16821214371348	""
1	45	2748	0.887661159847675	2748	0.96708729616734	""
1	46	3623	0.892771678753521	3623	1.21288120694213	""
1	47	3565	0.872069383226402	3565	1.02594218581398	""
1	48	4846	0.818108123579968	4846	1.20893847185689	""
2	1	4832	0.85152082836308	4832	1.18722011350457	""
2	2	3386	0.876665040790672	3386	0.965687857859748	""
2	3	2848	0.90443216509013	2848	0.952801075220428	""
2	4	2733	0.902308802433763	2733	0.963865870042107	""
2	5	2556	0.923353533555805	2556	0.928244426009183	""
2	6	2623	0.916134821192643	2623	0.974245017147262	""
2	7	2531	0.881744692232583	2531	0.943722694799677	""
2	8	2672	0.916193693011232	2672	1.00618445071147	""
2	9	2679	0.892963842018234	2679	1.02005801352824	""
2	10	2732	0.905159949738352	2732	1.05462742447776	""
2	11	3168	0.889288734464151	3168	1.2386808394474	""
2	12	3726	0.898272186239435	3726	1.46952924443071	""
2	13	2342	0.885891498123939	2342	0.918197869323547	""
2	14	2498	0.893478761656402	2498	0.966774362560294	""
2	15	3641	0.908551126941299	3641	1.3914800156113	""
2	16	3788	0.894759100771421	3788	1.44606746464061	""
2	17	3644	0.891394342910802	3644	1.38516503185947	""
2	18	3840	0.896797209073048	3840	1.45565421835659	""
2	19	3658	0.899462370623361	3658	1.37285050172246	""
2	20	3715	0.89104200707447	3715	1.39573112974365	""
2	21	3564	0.915018176606571	3564	1.34277047865474	""
2	22	3767	0.914783165962927	3767	1.42899800560008	""
2	23	2848	0.880748265855381	2848	1.07117361497502	""
2	24	2912	0.904891954507173	2912	1.09189376033248	""
2	25	3959	0.895348108080278	3959	1.46237953482001	""
2	26	4043	0.89643497556424	4043	1.50078816159147	""
2	27	3589	0.90303607514237	3589	1.3314390064123	""
2	28	3780	0.908557464777936	3780	1.40487581228842	""
2	29	3097	0.915618964627002	3097	1.13394991311248	""
2	30	3585	0.911562121680162	3585	1.3118540449193	""
2	31	3068	0.894728199126822	3068	1.11558166523351	""
2	32	3551	0.905710773887048	3551	1.29316417304149	""
2	33	3883	0.880722618312478	3883	1.39567447838386	""
2	34	3165	0.886412364660469	3165	1.13522760752496	""
2	35	3047	0.898719930656754	3047	1.08408641682006	""
2	36	2660	0.909771392244518	2660	0.950502752701744	""
2	37	2919	0.890171106979525	2919	1.03369601375643	""
2	38	3017	0.919146562758062	3017	1.07488244200131	""
2	39	2358	0.886238003569768	2358	0.842469419893017	""
2	40	2353	0.906457347705198	2353	0.858600249780379	""
2	41	2905	0.913327744455577	2905	1.05681603623291	""
2	42	2662	0.873613884639187	2662	0.96849016798028	""
2	43	2702	0.899698547823396	2702	0.9549496114402	""
2	44	2697	0.897376985968536	2697	0.934454451539262	""
2	45	2788	0.886011078586565	2788	0.929066032964839	""
2	46	2724	0.879908660635031	2724	0.862627101818612	""
2	47	3448	0.889942930971832	3448	0.938035209257906	""
